timestamp_utc,pair,direction,probability,expiry_min,entry_price,evaluated,result,ema20,macd_diff,macd_vote,rsi,rsi_vote,rsi_pro_active,impulse,pattern,reversal_up,reversal_down,div_buy,div_sell,near_support,near_resistance,smc_type,smc_strength,price_at_expiry
2025-11-28T07:45:58.421759+00:00,EUR/USD,BUY,79.8,4,1.15831,True,LOSE,1.1585991170901293,-2.2065517072861294e-05,-1,43.15448770838632,0,False,-0.417910447759255,,False,False,True,False,False,False,,,1.15829
2025-11-28T07:47:58.190917+00:00,EUR/JPY,BUY,89.7,3,181.134,True,LOSE,181.17319298635184,-0.0068797910892929,-1,40.425633070091926,0,False,-0.4638554216877324,BULLISH_ENGULF,False,False,False,False,True,False,,,181.12
2025-11-28T07:48:25.216738+00:00,GBP/USD,BUY,70.8,4,1.32154,True,LOSE,1.3216765364756025,-1.7747669002321346e-05,-1,42.63597265292606,0,False,0.6970954356843048,HAMMER,False,False,False,False,True,False,,,1.32152
2025-11-28T07:52:00.295303+00:00,GBP/USD,BUY,68.1,4,1.32149,True,LOSE,1.32163315316754,-1.5329629580588328e-05,-1,35.34725935444945,0,False,-0.8704663212462106,,False,False,True,False,True,False,,,1.32148
2025-11-28T07:52:17.991077+00:00,GBP/CAD,SELL,70.0,4,1.85539,True,WIN,1.855270819714196,4.475594886450601e-05,1,49.17419987488359,0,False,-2.1297539149887648,,False,False,True,False,False,False,,,1.85537
2025-11-28T07:55:38.426540+00:00,GBP/USD,SELL,70.0,4,1.3216,True,WIN,1.3215948588408384,-6.45322496169596e-06,-1,36.76180195292498,-1,True,-0.9281767955792756,,False,False,True,False,True,False,,,1.32116
2025-11-28T07:56:24.567181+00:00,USD/JPY,BUY,90.3,3,156.329,True,LOSE,156.35863199922508,-0.0032337508331181,-1,46.96161475043076,0,False,1.935802469137724,,False,False,False,False,False,False,,,156.329
2025-11-28T07:56:50.951877+00:00,AUD/USD,BUY,70.2,4,0.65233,True,WIN,0.6525142115018225,-2.7688475049713444e-05,-1,41.42608213737492,0,False,2.4049079754605907,BULLISH_ENGULF,False,False,False,True,False,False,,,0.65238
2025-11-28T07:58:41.377534+00:00,EUR/AUD,BUY,95.0,3,1.7745,True,LOSE,1.7750693680169571,-3.306250825648309e-05,-1,50.38414011728062,0,False,-0.6767371601206218,BULLISH_ENGULF,False,False,False,False,False,False,,,1.77423
2025-11-28T07:59:33.392056+00:00,GBP/CAD,BUY,81.7,4,1.85491,True,WIN,1.8552588530809195,5.507372574002633e-07,1,54.40974777797839,0,False,-0.1676646706585414,,False,False,False,True,False,False,,,1.85525
2025-11-28T08:09:41.983882+00:00,EUR/USD,SELL,70.0,4,1.158,True,WIN,1.157921026877238,3.06626937806971e-05,1,52.05158107368469,0,False,0.3500000000007772,,False,False,False,True,False,False,,,1.15766
2025-11-28T08:12:09.145241+00:00,GBP/CHF,BUY,70.3,4,1.06422,True,WIN,1.0643942745799462,-4.459399479442015e-05,-1,42.03642320893533,0,False,1.3293768545989413,,False,False,False,False,False,False,,,1.06448
2025-11-28T08:26:56.271184+00:00,AUD/CAD,BUY,70.6,4,0.91564,True,WIN,0.9158413338817828,5.746263414319534e-06,1,38.23867123865623,-1,True,-3.3833333333335385,,False,False,True,False,True,False,,,0.91566
2025-11-28T08:31:58.547900+00:00,AUD/USD,SELL,70.0,4,0.65232,True,WIN,0.6522656503348044,8.690655840978205e-06,1,41.78580215279342,0,False,-1.891891891891873,,False,True,True,False,True,False,,,0.65214
